trdmn	mkt_rf	smb	hml	umd	rmw	cma	rf	smb_equal	hml_equal	umd_equal	rmw_equal	cma_equal
2002-07	-0.042629433	0.0109317913	-0.00859298	-0.002138055	0.0047160135	-0.011606981	0.001635	0.0091247858	-0.007417599	-0.001178684	0.0025815343	-0.008658172
2002-08	0.0037973493	0.0069296363	-0.001441883	0.0004631783	0.0097114023	1.7038826E-6	0.001635	0.0088376728	-0.002918596	-0.003627217	0.0110581342	-0.003328548
2002-09	-0.057087772	-0.006807488	-0.007135529	0.0258284885	0.0224090526	-0.019098472	0.001635	-0.003030916	-0.005076409	0.0253596538	0.0196454213	-0.015540577
2002-10	-0.051335801	-0.013650158	-0.002369261	0.0092677347	0.0042914526	-0.00483634	0.001635	-0.01168955	-0.001909973	0.0082748998	0.0043015761	0.000190746
2002-11	-0.065027445	-0.030180295	-0.001738882	0.0286316462	0.0288426667	-0.029552008	0.001635	-0.020941908	0.0031019212	0.033273715	0.0270804583	-0.016865139
2002-12	-0.048839635	0.0029240463	-0.017561896	0.0170932759	0.0240887917	-0.011522745	0.001635	0.0073796514	-0.018040184	0.0053705323	0.0108671531	0.0023776671
2003-01	0.0894348267	0.0190156823	0.0217108156	-0.049018916	-0.034324239	0.0268572944	0.001635	0.0163492055	0.0117116211	-0.055815408	-0.027144239	0.0213657651
2003-02	0.0100755796	0.0089966584	0.0013499358	-0.000891087	-0.003064765	0.0041228054	0.001635	0.0074925266	0.0017521221	-0.002408846	-0.00241426	0.0000372862
2003-03	-0.01780629	-0.016393764	0.0179300217	0.0434001332	0.025847329	-0.015140686	0.001635	-0.011236859	0.018137494	0.0362334052	0.0188966662	-0.009176536
2003-04	-0.018864144	-0.037772364	0.0469768336	0.0841033404	0.0541861447	-0.036451646	0.001635	-0.035210297	0.0429939493	0.0789388984	0.0649193416	-0.032221232
2003-05	0.0456896062	-0.01296294	0.0050280631	-0.009985885	-0.007797623	0.0041858235	0.001635	-0.01138893	0.0070450206	-0.008808468	-0.006697553	-0.00165186
2003-06	-0.067247673	-0.003739009	-0.002951338	0.0116311692	0.0085616718	-0.008222468	0.001635	0.0026331342	-0.005187594	-0.000254993	0.0017824667	0.0003449798
2003-07	-0.011990128	-0.042718141	0.0012705647	0.0467990505	0.0351960238	-0.022711315	0.001635	-0.030994292	0.0031686172	0.0412047979	0.0251319187	-0.014916596
2003-08	-0.0325589	0.0111279113	-0.013532025	-0.034597728	-0.013896146	0.0005475635	0.001635	0.0134324234	-0.013251383	-0.036019609	-0.008276523	0.0035349886
2003-09	-0.043935752	-0.00760454	0.0065759943	0.0065705236	0.0021515357	-0.003572415	0.001635	-0.006359823	0.0112269291	0.0072097774	-0.000746511	-0.002953212
2003-10	-0.040743265	-0.053397419	0.0382376537	0.0833924984	0.0783464828	-0.044112137	0.001635	-0.042684902	0.0419838761	0.082311863	0.0651310353	-0.035374366
2003-11	0.0222800084	-0.009765915	0.0373531854	-0.022123689	0.0127791026	0.0064613167	0.001635	-0.015306544	0.0278767389	-0.023510591	0.0207104983	-0.013043284
2003-12	0.0210349624	-0.055053317	0.0455070954	0.1054751181	0.0795722051	-0.046440263	0.001635	-0.041256337	0.0382857237	0.1053542088	0.0633883103	-0.039819061
2004-01	0.073668487	0.0197520159	0.0051157207	-0.072073701	-0.025277163	0.0164639648	0.001635	0.0110647033	-0.008621571	-0.071381128	-0.017842791	-0.000465756
2004-02	0.0732101406	0.0302933339	-0.000118839	-0.072400581	-0.046760608	0.0262875812	0.001635	0.0200082529	-0.010476789	-0.068724752	-0.028565053	0.0236821656
